#FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>	
OG0000000	0.00377959	0.743584	0.5038	0.0292432	3.51871e-06	0.0366846	5.61412e-12	0.274428	0.754099	0.437361	0.123017	0.88159	0.017003	0.0188851	0.339342	0.85841	0.915751	0.599307	0.264406	0.096545	N/A
OG0000002	7.02639e-21	5.20739e-09	0.143178	0.807822	0.285259	0.71958	0.103733	0.807822	0.71958	0.0339128	0.212944	0.670909	0.807822	0.850104	0.469088	0.850104	1.54823e-06	4.11803e-05	0.850104	0.899198	N/A
OG0000004	4.25942e-09	0.000165258	1.98121e-21	8.55053e-30	0.0943472	0.533048	0.00215603	0.763788	0.533048	0.13534	0.445896	0.233144	8.63588e-07	2.99244e-07	0.477472	0.744211	3.72816e-55	6.23569e-10	0.16632	0.0774618	N/A
OG0000005	0.562856	0.562856	2.28903e-19	2.36575e-24	1.74914e-15	3.59726e-06	1.58758e-13	0.334452	0.614122	2.99244e-07	0.809566	0.503784	1.2925e-15	0.00825396	0.809873	0.0852951	5.53009e-08	0.81415	0.759646	0.199463	N/A
OG0000006	0.690824	0.131682	4.89842e-09	0.0987286	8.19842e-05	0.690824	0.0172301	0.452567	0.690824	0.000169633	0.583022	0.367984	0.780844	0.828385	0.847879	0.0276515	0.00326875	0.828616	0.262603	0.0116395	N/A
OG0000007	0.116216	8.39132e-18	0.5	0.5	1.37577e-19	0.674313	0.00778933	1.94766e-18	0.108347	1.94195e-05	0.331897	0.00538089	0.404238	0.8054	2.1515e-16	0.514399	3.10766e-06	0.81415	0.0623754	0.00236379	N/A
OG0000009	1.66195e-09	0.732114	2.3981e-22	2.93667e-15	0.000162649	0.032016	0.188754	0.813391	0.743584	0.159304	0.259523	0.259523	0.813391	0.0704362	0.0277048	2.35232e-18	0.590357	0.133286	0.0983398	0.0030204	N/A
OG0000010	2.75893e-22	3.39989e-13	0.00371985	0.61415	9.58682e-12	0.161465	0.0893239	0.000726321	1.26019e-17	2.45414e-11	0.795703	0.0226323	0.674349	0.16632	0.233641	0.726615	0.590357	0.133286	0.033659	0.00024182	N/A
OG0000011	0.0017093	1.08993e-06	0.036449	0.00115778	0.788392	0.139274	0.559505	0.754135	0.698517	0.10286	0.476872	0.476872	0.754135	0.00425811	0.021894	0.112676	0.000120544	0.00027159	0.785248	0.858572	N/A
OG0000014	0.116216	0.27037	0.385735	0.385735	0.214766	0.674313	0.000347324	0.0413216	0.674313	0.813891	0.548109	0.831388	0.763788	0.813891	0.217136	0.279316	0.000622315	0.00663516	0.8054	0.871763	N/A
OG0000015	7.66521e-17	0.131682	1.92581e-19	0.000244191	2.51312e-18	0.310267	0.000102056	0.780844	0.131682	0.0207397	0.795703	0.0619029	0.22746	0.310411	0.00106811	0.0702807	3.62575e-14	7.55859e-10	0.8054	0.871763	N/A
OG0000016	3.61187e-13	0.682763	5.87766e-14	3.26017e-11	1.61614e-09	0.297496	0.000233556	0.801829	0.123995	0.164811	0.831388	0.548109	0.00186161	0.821514	0.831663	0.00251984	0.236313	0.236313	0.00895013	1.83114e-05	N/A
OG0000018	1.01488e-15	0.030673	0.466624	0.25169	0.763788	0.674313	0.389981	0.239765	0.284206	0.310411	0.854266	0.854266	0.22746	0.821514	0.854499	0.295241	4.2409e-05	0.00663516	0.813891	0.65046	N/A
OG0000022	0.725987	0.168663	6.37073e-12	0.0717147	0.0323872	0.725987	0.341614	0.404238	0.00451177	0.568695	0.5	0.5	0.754135	0.000553286	2.18383e-05	1.56969e-10	7.29313e-05	0.744547	0.656708	0.744547	N/A
OG0000023	0.562856	0.0948492	3.02294e-05	0.00115778	5.10454e-12	9.36927e-05	0.0491959	0.754135	0.602254	7.80644e-10	0.503784	0.503784	0.0628994	0.000950655	0.182592	0.785248	0.000475419	0.899198	0.0151364	0.00190267	N/A
OG0000024	0.656159	0.656159	0.160046	0.719617	0.743621	0.656159	7.66891e-06	0.719617	0.656159	0.795906	0.809566	0.809566	0.719617	0.0989869	0.527916	0.773236	0.00116715	0.000165536	0.773236	0.850287	N/A
