FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000000	+0	+0	-1	+3	+3	+0	-13	+1	+0	+4	-3	+0	-4	+8	-3	+0	+0	+2	-1	+3	+0
OG0000002	-13	+8	+0	-1	+1	+0	+2	+0	+0	-3	+3	-1	+0	-1	+1	+0	-10	+10	+0	-1	+0
OG0000003	-2	+16	-18	+25	-1	+3	+15	+0	+1	-7	+0	-2	+9	-1	-2	+7	-6	+1	+1	-4	+0
OG0000005	+5	-2	-14	+26	-1	+0	+6	+0	+0	-1	-3	+0	+5	-7	-1	-1	+61	-15	-1	+4	+0
OG0000007	+2	-9	-1	-1	+17	-1	+5	-10	+2	-6	+3	+8	-1	+0	+20	-1	-4	+0	+3	-6	+0
OG0000008	-13	+4	-15	+8	+16	-1	+5	-1	+2	-5	-1	-3	+1	+1	-5	+4	-13	+15	+0	-1	+0
OG0000009	-11	+2	-17	+14	+4	-2	+3	+0	+1	+3	-1	-2	+1	+4	-2	+15	+0	-1	+1	-4	+0
OG0000010	-1	+5	-2	+4	-3	+0	-1	+0	+0	+4	-1	-1	-1	+5	-4	+2	-6	+7	+0	-1	+0
OG0000011	+0	+0	-6	+0	-5	+1	+7	-4	+0	+6	-1	+1	-1	+2	+0	+1	-4	+0	+2	-3	+0
OG0000015	-6	+1	-1	+1	+0	-1	+2	+0	-1	+0	+0	+0	+2	+0	+0	+1	-7	+4	+0	-1	+0
OG0000017	+1	-1	-1	-1	+0	+0	+6	-2	+0	+0	-1	+0	+1	+1	-1	+1	-5	+6	+0	+0	+0
OG0000018	-11	+4	-12	+12	+9	+0	+7	+0	+1	-4	+0	-1	+3	+0	-1	+7	-1	-1	+2	-5	+0
OG0000020	-1	+6	-9	+3	+0	+1	+3	-1	+3	+0	+0	+0	+0	+7	-5	+8	-4	+0	+0	-1	+0
OG0000022	+0	-2	-2	+0	+3	-2	+17	-1	+0	-4	-1	+3	+3	-7	+0	-1	-13	+24	+0	+1	+0
OG0000024	+7	-1	-16	+8	-7	+1	+16	-1	+0	+1	-1	-1	+4	+0	-2	+8	-2	+0	+1	-2	+0
OG0000026	+0	+0	+1	+0	+0	+0	-6	+0	+0	+0	+0	+0	+0	+2	-1	+0	-5	+7	+0	+0	+0
OG0000033	-1	+1	+1	+0	+1	+0	-7	+1	+1	-1	+0	+0	+0	+1	+0	+0	-4	+7	+0	+0	+0
OG0000034	+1	-1	+1	+0	+0	+0	-6	+0	+0	+0	-1	+0	+0	+2	-2	+0	-4	+6	+0	+0	+0
OG0000035	-3	+9	-1	+0	+6	+1	+0	-3	+8	-2	+0	+1	-1	+4	+0	+1	-4	+1	+0	-1	+0
OG0000036	-3	+0	+1	-5	+4	+0	+12	+0	+0	-7	-1	+0	+2	-2	+0	+0	-9	+14	+0	+1	+0
OG0000037	-2	+0	-4	+5	+9	-2	+2	+0	+0	-6	-1	-1	+2	-4	-4	+0	+10	+0	-3	+6	+0
OG0000040	+0	+1	-1	+2	+0	+1	+1	+1	+0	+0	-1	+0	+1	+0	-1	+7	+0	-1	+0	-3	+0
OG0000041	+2	-1	-7	+11	+0	+0	+3	+0	+0	-3	-1	+0	+1	-1	-1	+2	-10	+10	+0	+0	+0
OG0000042	+0	+0	-14	+12	+0	-1	+19	+0	-4	+0	+0	+2	+7	-6	+3	+1	-2	-1	+2	-5	+0
OG0000043	-1	+0	+4	-10	+1	-1	+17	+0	+0	-4	-2	+2	+3	-3	+0	+0	-6	+7	+0	+0	+0
OG0000045	+3	+0	-4	+1	-3	+0	+3	+0	+0	-2	-2	+4	+1	-3	+0	-1	+44	-11	-1	+3	+0
OG0000046	+4	+0	-10	+30	-3	+4	+1	+2	+1	-5	+0	-1	+3	-1	-5	+1	+3	+0	+0	+1	+0
OG0000049	+0	+0	-1	+5	+4	-7	+0	+1	+0	+0	+0	-1	+2	-2	+0	+1	-4	+2	+0	+0	+0
OG0000052	-1	+0	+0	-6	+1	-3	+17	-1	+0	-3	+0	+2	+1	-5	+3	-1	-10	+11	+0	+0	+0
OG0000054	-4	+2	-1	+3	+0	+0	+0	+1	+1	-5	-1	+0	+2	-1	+0	+0	-4	+1	+0	-1	+0
OG0000055	-3	+3	+0	+2	+7	+0	-5	+0	+4	+0	+0	-1	-1	+10	-3	+2	+1	-2	+0	-1	+0
OG0000057	+0	+3	-12	+41	-1	+0	+2	+2	+0	-2	+0	+2	+4	-5	+2	+0	-1	+0	+2	-4	+0
OG0000060	+0	-1	+0	+4	+7	-6	+2	+1	+0	-2	+0	+0	+4	-3	+1	+1	-5	+1	+1	-3	+0
OG0000061	+3	-1	-1	+0	+2	+0	+1	-1	+2	-7	+0	+0	+0	+0	+2	+0	-3	+1	+0	-1	+0
OG0000062	-1	+6	+0	+0	+0	+2	+6	-5	+7	-1	+0	+0	+0	+5	-3	+3	-3	+0	+0	+0	+0
OG0000063	+0	+0	-3	+15	+2	+0	-3	+1	+0	-2	+1	+10	+0	-2	+12	-4	+7	-8	+0	-1	+0
OG0000065	+0	-1	-4	+4	+4	-1	+2	+0	+1	-1	-1	-1	+0	+0	-2	+3	-6	+4	+0	+0	+0
OG0000067	+9	-6	-8	+8	-4	+0	+3	+0	-1	+2	+0	-2	+1	+0	-2	+1	+11	-6	+0	+0	+0
OG0000068	+0	-2	+1	-2	+5	-2	+12	+0	+0	-4	+1	+0	+4	-4	+1	+0	-2	+0	+1	-4	+0
OG0000069	+2	-1	-1	+10	+2	+0	-4	+5	+0	-1	+0	+0	+0	+0	-1	+2	+0	+0	+0	-1	+0
