#Taxon_ID	Increase	Decrease		
CINOP<16>	551	1996	-1445	2547
<18>	33	74	-41	107
PX356<1>	386	420	-34	806
PX506<4>	596	939	-343	1535
<7>	210	372	-162	582
CSINI<6>	1305	1427	-122	2732
<5>	83	373	-290	456
CLATE<9>	535	1387	-852	1922
<19>	175	280	-105	455
CELEG<17>	957	766	191	1723
<12>	295	246	49	541
<8>	189	94	95	283
PX439<0>	321	961	-640	1282
<15>	231	176	55	407
<13>	377	741	-364	1118
CBRIG<2>	583	678	-95	1261
<14>	329	1442	-1113	1771
NIC58<11>	220	314	-94	534
JU1373<10>	185	470	-285	655
CNIGO<3>	948	616	332	1564
	425.45	688.6		
