#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000000	0.0381341	6.22375e-92	5.87454e-28	1.05945e-64	N/S
OG0000000	1.96187	5.87454e-28	5.87454e-28	1	*
OG0000002	0.0381341	2.00029e-112	7.13455e-40	2.80366e-73	N/S
OG0000002	1.96187	7.13455e-40	7.13455e-40	1	*
OG0000004	0.0381341	0	1.78741e-107	0	N/S
OG0000004	1.96187	1.78741e-107	1.78741e-107	1	*
OG0000005	0.0381341	1.05257e-256	4.06716e-82	2.58796e-175	N/S
OG0000005	1.96187	4.06716e-82	4.06716e-82	1	*
OG0000006	0.0381341	4.32658e-78	4.91655e-25	8.80002e-54	N/S
OG0000006	1.96187	4.91655e-25	4.91655e-25	1	*
OG0000007	0.0381341	1.07732e-214	3.81442e-69	2.82435e-146	N/S
OG0000007	1.96187	3.81442e-69	3.81442e-69	1	*
OG0000009	0.0381341	5.11794e-179	2.53027e-59	2.02269e-120	N/S
OG0000009	1.96187	2.53027e-59	2.53027e-59	1	*
OG0000010	0.0381341	6.50215e-192	1.54483e-69	4.20897e-123	N/S
OG0000010	1.96187	1.54483e-69	1.54483e-69	1	*
OG0000011	0.0381341	5.95468e-80	3.10269e-25	1.9192e-55	N/S
OG0000011	1.96187	3.10269e-25	3.10269e-25	1	*
OG0000014	0.0381341	2.53238e-49	1.82607e-17	1.38679e-32	N/S
OG0000014	1.96187	1.82607e-17	1.82607e-17	1	*
OG0000015	0.0381341	6.63565e-218	4.04613e-71	1.64e-147	N/S
OG0000015	1.96187	4.04613e-71	4.04613e-71	1	*
OG0000016	0.0381341	1.38033e-158	9.5756e-51	1.44151e-108	N/S
OG0000016	1.96187	9.5756e-51	9.5756e-51	1	*
OG0000018	0.0381341	3.13306e-66	1.48199e-27	2.11409e-39	N/S
OG0000018	1.96187	1.48199e-27	1.48199e-27	1	*
OG0000022	0.0381341	2.97354e-94	3.69681e-33	8.04353e-62	N/S
OG0000022	1.96187	3.69681e-33	3.69681e-33	1	*
OG0000023	0.0381341	7.95166e-122	5.33641e-39	1.49008e-83	N/S
OG0000023	1.96187	5.33641e-39	5.33641e-39	1	*
OG0000024	0.0381341	6.11248e-44	1.37623e-17	4.44148e-27	N/S
OG0000024	1.96187	1.37623e-17	1.37623e-17	1	*
OG0000025	0.0381341	4.25363e-177	1.05473e-60	4.0329e-117	N/S
OG0000025	1.96187	1.05473e-60	1.05473e-60	1	*
OG0000029	0.0381341	2.8964e-51	5.6744e-20	5.10433e-32	N/S
OG0000029	1.96187	5.6744e-20	5.6744e-20	1	*
OG0000032	0.0381341	1.0035e-45	3.86457e-17	2.59666e-29	N/S
OG0000032	1.96187	3.86457e-17	3.86457e-17	1	*
