#FamilyID	pvalue	Significant at 0.05
OG0000000	0	y
OG0000002	0	y
OG0000003	0	y
OG0000005	0	y
OG0000007	0	y
OG0000008	0	y
OG0000009	0	y
OG0000010	0	y
OG0000011	0	y
OG0000015	0	y
OG0000017	0.018	y
OG0000018	0	y
OG0000020	0	y
OG0000022	0	y
OG0000024	0	y
OG0000026	0.007	y
OG0000033	0	y
OG0000034	0.006	y
OG0000035	0	y
OG0000036	0	y
OG0000037	0	y
OG0000040	0.008	y
OG0000041	0	y
OG0000042	0	y
OG0000043	0	y
OG0000045	0	y
OG0000046	0	y
OG0000049	0	y
OG0000052	0	y
OG0000054	0	y
OG0000055	0	y
OG0000057	0	y
OG0000060	0	y
OG0000061	0	y
OG0000062	0	y
OG0000063	0	y
OG0000065	0	y
OG0000067	0	y
OG0000068	0	y
OG0000069	0	y
OG0000070	0	y
OG0000073	0.009	y
OG0000075	0	y
OG0000076	0	y
OG0000077	0.001	y
OG0000078	0	y
OG0000081	0	y
OG0000082	0	y
OG0000083	0	y
OG0000085	0	y
OG0000086	0.13	n
OG0000088	0	y
OG0000089	0	y
OG0000090	0	y
OG0000094	0	y
OG0000097	0	y
OG0000098	0	y
OG0000099	0	y
OG0000101	0	y
OG0000102	0	y
OG0000103	0	y
OG0000107	0.863	n
OG0000108	0	y
OG0000109	0	y
OG0000110	0	y
OG0000111	0.001	y
OG0000112	0	y
OG0000114	0	y
OG0000115	0.244	n
OG0000116	0	y
OG0000117	0.001	y
OG0000118	0	y
OG0000119	0	y
OG0000120	0	y
OG0000123	0	y
OG0000124	0.001	y
OG0000126	0	y
OG0000127	0	y
OG0000130	0.003	y
OG0000131	0.341	n
OG0000132	0	y
OG0000136	0.02	y
OG0000138	0.008	y
OG0000139	0.001	y
OG0000140	0	y
OG0000143	0	y
OG0000144	0	y
OG0000145	0.164	n
OG0000146	0.05	n
OG0000147	0	y
OG0000148	0	y
OG0000149	0	y
OG0000150	0	y
OG0000153	0	y
OG0000154	0.023	y
OG0000155	0	y
OG0000158	0	y
OG0000161	0.027	y
OG0000162	0	y
OG0000163	0.01	y
OG0000165	0.147	n
OG0000166	0.004	y
OG0000167	0.752	n
OG0000168	0	y
OG0000169	0	y
OG0000171	0	y
OG0000173	0	y
OG0000174	0	y
OG0000175	0	y
OG0000176	0.051	n
OG0000177	0	y
OG0000178	0	y
OG0000179	0.247	n
OG0000180	0	y
OG0000182	0	y
OG0000183	0	y
OG0000184	0	y
OG0000186	0	y
OG0000187	0	y
OG0000188	0	y
OG0000189	0.986	n
OG0000190	0	y
OG0000191	0	y
OG0000194	0	y
OG0000195	0	y
OG0000196	0	y
OG0000197	0	y
OG0000198	0	y
OG0000200	0.177	n
OG0000201	0.632	n
OG0000202	0.036	y
OG0000203	0	y
OG0000204	0	y
OG0000206	0	y
OG0000207	0.013	y
OG0000208	0.204	n
OG0000209	0.049	y
OG0000211	0.429	n
OG0000212	0	y
OG0000214	0.095	n
OG0000215	0.123	n
OG0000216	0	y
OG0000218	0.943	n
OG0000219	0.011	y
OG0000220	0.486	n
OG0000221	0	y
OG0000222	0.012	y
OG0000227	0	y
OG0000228	0.025	y
OG0000229	0.056	n
OG0000232	0	y
OG0000233	0	y
OG0000234	0	y
OG0000235	0	y
OG0000237	0	y
OG0000240	0	y
OG0000241	0.102	n
OG0000242	0	y
OG0000243	0.002	y
OG0000244	0.016	y
OG0000245	0	y
OG0000246	0	y
OG0000248	0	y
OG0000251	0.498	n
OG0000252	0	y
OG0000253	0.002	y
OG0000254	0	y
OG0000255	0	y
OG0000257	0	y
OG0000258	0.002	y
OG0000259	0.015	y
OG0000261	0.001	y
OG0000265	0	y
OG0000266	0.138	n
OG0000267	0.029	y
OG0000270	0	y
OG0000271	0	y
OG0000272	0.005	y
OG0000273	0.142	n
OG0000274	0.002	y
OG0000275	0.254	n
OG0000276	0	y
OG0000278	0	y
OG0000280	0.127	n
OG0000281	0.098	n
OG0000282	0	y
OG0000285	0.188	n
OG0000286	0	y
OG0000287	0	y
OG0000288	0	y
OG0000289	0.977	n
OG0000290	0.061	n
OG0000291	0.063	n
OG0000292	0	y
OG0000294	0	y
OG0000298	0	y
OG0000299	0.018	y
OG0000300	0.095	n
OG0000301	0.004	y
OG0000305	0.08	n
OG0000306	0.102	n
OG0000307	0	y
OG0000308	0.005	y
OG0000310	0.457	n
OG0000311	0.462	n
OG0000313	0	y
OG0000315	0.155	n
OG0000316	0	y
OG0000317	0.014	y
OG0000318	0.025	y
OG0000321	0	y
OG0000326	0.012	y
OG0000327	0	y
OG0000328	0.001	y
OG0000330	0.342	n
OG0000331	0	y
OG0000332	0.181	n
OG0000333	0	y
OG0000334	0	y
OG0000335	0.001	y
OG0000336	0	y
OG0000339	0	y
OG0000341	0.002	y
OG0000342	0.004	y
OG0000343	0.091	n
OG0000344	0.655	n
OG0000346	0	y
OG0000347	0	y
OG0000350	0	y
OG0000351	0.047	y
OG0000352	0.884	n
OG0000353	0.448	n
OG0000354	0.152	n
OG0000355	0.096	n
OG0000357	0.115	n
OG0000358	0	y
OG0000360	0	y
OG0000364	0.971	n
OG0000365	0	y
OG0000366	0.011	y
OG0000367	0.477	n
OG0000368	0.358	n
OG0000369	0	y
OG0000370	0.81	n
OG0000372	0	y
OG0000375	0.33	n
OG0000376	0	y
OG0000378	0.037	y
OG0000379	0.077	n
OG0000380	0	y
OG0000381	0.268	n
OG0000382	0	y
OG0000383	0.366	n
OG0000384	0.243	n
OG0000386	0.002	y
OG0000387	0	y
OG0000388	0	y
OG0000396	0.886	n
OG0000397	0.127	n
OG0000399	0	y
OG0000400	0.716	n
OG0000402	0.414	n
OG0000403	0.251	n
OG0000404	0	y
OG0000405	0.355	n
OG0000406	0.461	n
OG0000407	0.791	n
OG0000408	0.465	n
OG0000409	0	y
OG0000410	0	y
OG0000415	0.025	y
OG0000416	0	y
OG0000417	0	y
OG0000418	0.356	n
OG0000419	0.037	y
OG0000420	0.228	n
OG0000422	0.005	y
OG0000423	0	y
OG0000426	0.002	y
OG0000427	0.272	n
OG0000428	0.003	y
OG0000429	0	y
OG0000430	0.82	n
OG0000431	0.006	y
OG0000432	0.229	n
OG0000433	0.007	y
OG0000434	0.561	n
OG0000435	0.852	n
OG0000436	0.221	n
OG0000437	0.243	n
OG0000438	0.003	y
OG0000439	0	y
OG0000444	0.051	n
OG0000445	0	y
OG0000446	0	y
OG0000447	0.005	y
OG0000448	0.004	y
OG0000449	0.002	y
OG0000450	0	y
OG0000451	0.172	n
