FamilyID,PX439<0>,PX356<1>,CBRIG<2>,CNIGO<3>,PX506<4>,<5>,CSINI<6>,<7>,<8>,CLATE<9>,JU1373<10>,NIC58<11>,<12>,<13>,<14>,<15>,CINOP<16>,CELEG<17>,<18>,<19>,<20>
OG0001853,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
OG0003370,0,0,0,0,0,0,0,0,0,0,-2,12,0,0,1,-1,1,-1,0,0,0
OG0000024,0,0,1,0,0,0,-6,0,0,0,0,0,0,2,-1,0,-5,7,0,0,0
OG0000155,0,0,0,0,0,0,0,0,0,0,2,9,0,0,25,-3,-1,0,1,-1,0
OG0000443,-1,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,0,0,0
OG0000444,0,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-4,21,-1,1,0
OG0000645,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,-1,6,0,1,0
OG0000718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,29,-1,1,0
OG0000862,0,0,1,0,0,0,0,1,0,0,0,0,1,-1,0,0,-2,4,0,0,0
OG0001218,0,0,10,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,3,0,0,0
OG0001797,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,9,-1,0,0
OG0002027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,7,0,1,0
OG0002135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,0,1,0
OG0002202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,8,0,0,0
OG0002205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,6,0,0,0
OG0002262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,0,0,0
OG0002341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,0,0,0
OG0002614,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,7,0,0,0
OG0002829,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-2,14,-1,0,0
OG0004538,0,0,13,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0
OG0016503,0,0,2,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,3,0,0,0
OG0000071,6,-1,0,-1,-2,0,33,-7,0,2,0,0,0,2,-1,5,-2,0,0,-1,0
OG0000091,-8,7,0,0,20,0,0,-2,7,-1,0,0,0,4,-1,1,-1,0,0,0,0
OG0000316,0,0,0,0,0,0,19,-1,0,0,0,0,1,0,-1,1,-1,0,0,-1,0
OG0000362,0,0,0,0,2,-1,8,-3,0,0,0,0,0,1,0,1,-1,0,0,-1,0
OG0000383,-1,0,0,0,0,0,12,-1,0,0,0,0,0,-1,2,0,-1,0,0,-2,0
OG0000851,0,2,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OG0001646,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0002821,0,0,0,0,0,0,14,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0
OG0000201,0,0,0,9,0,0,-1,6,0,0,0,0,1,-2,-1,0,0,1,0,0,0
OG0000291,0,0,0,-1,0,0,15,-1,-1,0,0,0,0,0,-3,0,-3,18,0,1,0
OG0000787,1,0,0,0,1,0,9,-1,0,-1,0,0,0,0,-1,0,-1,2,0,0,0
OG0000005,0,0,-17,25,13,-4,20,1,0,-6,0,-1,14,-3,0,2,-7,0,0,-2,0
OG0000009,-8,0,-17,16,6,-2,2,0,0,2,-1,-1,0,3,-2,16,0,-1,1,-3,0
OG0000016,-9,0,-12,12,10,-1,7,0,1,-2,0,-1,4,0,0,4,-1,-1,3,-6,0
OG0000023,0,-1,-5,4,10,-3,3,0,0,-7,-1,-1,2,-4,-2,0,8,0,-3,6,0
OG0000025,8,-2,-16,8,-6,1,17,0,0,2,-1,-1,4,0,-2,7,-3,0,1,-1,0
OG0000052,1,0,0,4,1,0,-4,1,8,-2,0,0,0,3,-5,1,12,-5,0,0,0
OG0000059,-1,1,-9,5,1,0,5,0,0,-1,-1,-1,1,0,-6,1,8,-3,0,0,0
OG0000072,0,-2,0,0,10,0,45,-4,0,-4,0,0,0,0,0,1,0,-2,0,-1,0
OG0000073,9,-6,-8,8,-4,0,2,0,-1,1,0,-2,1,0,-3,0,10,-7,0,0,0
OG0000079,2,-2,-1,10,2,0,-3,6,1,-1,0,0,0,0,-1,1,0,0,0,-1,0
OG0000090,-1,1,-1,1,-1,0,3,0,0,-1,0,0,0,-2,-3,0,67,-8,-1,4,0
OG0000092,0,1,-3,12,-1,0,0,0,0,-1,-1,0,0,-3,-1,0,53,-7,-1,2,0
OG0000100,0,0,-6,76,0,0,0,2,0,0,0,0,3,-1,-1,0,0,-1,0,0,0
OG0000101,0,0,0,-1,20,-10,0,0,0,7,-1,0,-1,8,0,1,-2,0,0,0,0
OG0000102,-1,0,0,0,-1,0,1,-1,0,-1,0,0,0,0,-1,0,81,-7,-2,4,0
OG0000135,0,1,0,-1,0,0,0,-2,0,1,-1,0,-1,1,-3,0,37,-4,-1,3,0
OG0000151,1,-1,-2,0,0,0,2,0,-1,6,0,0,0,1,-3,0,13,-4,-1,1,0
OG0000170,0,0,-4,2,1,0,8,0,0,0,0,0,1,0,0,2,-1,0,1,-2,0
OG0000186,0,1,-5,7,0,0,1,0,0,-1,0,-1,0,-3,0,0,12,-5,0,0,0
OG0000188,0,1,-4,6,-1,1,3,0,0,-1,0,0,2,0,-1,0,2,-3,0,0,0
OG0000191,11,-1,-5,1,-2,0,12,0,0,0,0,0,2,0,-2,1,-2,0,0,0,0
OG0000192,0,-1,-4,1,1,0,13,0,0,-1,0,0,3,0,-2,4,0,-1,0,-1,0
OG0000195,0,0,-6,4,0,-1,8,0,0,-1,0,0,3,-2,-1,0,15,-3,0,0,0
OG0000223,2,-1,-2,1,-1,0,1,0,0,-1,0,0,0,-1,0,0,23,-5,-1,1,0
