Desc	Family	JU1373	NIC58	PX356	PX439	PX506	CLATE	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000000	17	20	31	31	34	35	19	29	27	23	6
null	OG0000001	3	3	2	1	2	2	2	0	1	2	274
null	OG0000002	25	21	28	7	21	17	21	30	10	20	23
null	OG0000003	9	7	37	19	17	10	9	7	0	52	42
null	OG0000004	1	0	0	0	0	0	0	0	257	4	2
null	OG0000005	6	9	0	7	1	1	0	0	76	40	20
null	OG0000006	2	1	5	2	64	1	0	0	0	3	17
null	OG0000007	37	42	5	16	32	7	1	5	1	1	17
null	OG0000008	8	6	24	7	37	14	3	28	0	26	24
null	OG0000009	3	2	26	13	30	28	5	0	1	36	25
null	OG0000010	7	7	24	18	16	23	11	18	5	17	12
null	OG0000011	12	14	17	17	11	22	3	8	4	9	20
null	OG0000012	0	0	4	5	7	5	33	0	0	117	13
null	OG0000013	1	1	24	33	33	20	2	0	0	22	27
null	OG0000014	0	0	5	7	16	11	2	0	0	1	47
null	OG0000015	15	15	15	8	15	16	17	18	7	19	20
null	OG0000016	42	50	19	4	29	2	0	0	0	0	5
null	OG0000017	10	11	13	15	14	14	11	18	7	11	20
null	OG0000018	8	7	21	6	26	12	7	1	1	31	26
null	OG0000019	0	0	0	0	0	0	0	0	182	0	0
null	OG0000020	0	0	30	23	23	20	3	4	0	15	16
null	OG0000021	0	0	0	0	0	0	0	1	173	0	0
null	OG0000022	11	15	0	2	7	0	11	37	0	13	31
null	OG0000023	0	0	6	14	48	2	0	0	0	0	0
null	OG0000024	2	2	13	21	6	14	0	2	0	24	33
null	OG0000025	6	5	12	1	43	3	1	0	0	4	64
null	OG0000026	9	9	12	12	12	12	11	17	5	10	4
null	OG0000027	19	16	1	12	11	1	5	0	0	55	5
null	OG0000028	9	11	24	9	6	5	6	0	0	20	20
null	OG0000029	0	0	6	4	48	9	1	0	0	0	0
null	OG0000030	0	0	4	4	27	0	0	0	0	0	4
null	OG0000031	0	0	0	0	0	0	0	0	153	0	0
null	OG0000032	32	50	12	10	7	7	3	0	0	2	13
null	OG0000033	9	9	12	10	12	9	11	16	5	10	2
null	OG0000034	7	8	11	13	12	12	11	16	6	10	4
null	OG0000035	6	7	29	17	25	9	2	6	1	3	6
null	OG0000036	9	10	8	5	12	1	13	25	2	7	24
null	OG0000037	5	5	4	2	15	0	8	19	29	17	14
null	OG0000038	0	0	12	10	50	11	0	0	0	0	0
null	OG0000039	0	0	0	0	0	0	0	0	141	0	0
null	OG0000040	4	5	15	14	13	13	14	2	3	17	15
null	OG0000041	8	9	10	13	11	8	6	20	0	24	16
null	OG0000042	14	16	1	1	2	6	5	3	2	31	38
null	OG0000043	7	11	5	4	7	2	16	16	3	2	29
null	OG0000044	0	0	0	0	0	0	0	1	133	0	0
null	OG0000045	6	12	4	7	1	2	4	1	56	9	11
null	OG0000046	1	0	11	15	4	1	2	7	10	42	11
null	OG0000047	1	1	33	3	27	2	1	0	0	2	26
null	OG0000048	8	16	15	15	10	8	19	0	0	8	4
null	OG0000049	9	8	1	1	12	8	12	11	5	18	12
null	OG0000050	0	0	0	0	0	0	0	0	128	0	0
null	OG0000051	11	10	10	7	18	9	1	0	0	14	17
null	OG0000052	13	15	1	0	5	1	9	21	0	3	27
null	OG0000053	0	0	7	12	12	4	7	0	0	65	4
null	OG0000054	8	9	11	5	9	3	11	9	4	15	11
null	OG0000055	1	0	23	17	27	16	5	1	4	7	0
null	OG0000056	0	0	30	19	15	22	0	0	0	0	9
null	OG0000057	9	11	5	2	1	0	1	1	0	54	13
null	OG0000058	4	5	8	3	36	2	5	0	0	3	3
null	OG0000059	0	0	0	0	1	0	29	0	0	89	0
null	OG0000060	10	10	0	1	14	5	15	6	0	19	16
null	OG0000061	10	10	9	13	12	1	6	8	4	7	9
null	OG0000062	0	0	26	19	18	10	1	3	0	1	12
null	OG0000063	22	31	3	3	5	1	3	0	15	21	2
null	OG0000064	12	11	6	9	7	11	15	0	0	19	11
null	OG0000065	3	3	8	9	14	8	5	10	0	13	11
null	OG0000066	0	0	7	8	22	9	3	0	0	9	20
null	OG0000067	4	2	0	15	2	9	0	0	17	16	11
null	OG0000068	10	9	0	2	9	0	13	3	1	10	24
null	OG0000069	5	5	7	10	10	7	12	5	5	23	4
null	OG0000070	1	3	0	0	0	0	1	0	95	3	0
null	OG0000071	1	2	4	12	13	9	2	0	0	12	10
null	OG0000072	0	0	33	10	26	4	0	0	0	1	3
null	OG0000073	6	6	8	8	6	9	6	7	20	8	4
null	OG0000074	0	0	24	8	33	5	0	0	0	1	4
null	OG0000075	1	2	4	4	33	18	2	2	0	1	4
null	OG0000076	6	6	7	3	9	3	10	18	4	8	13
null	OG0000077	9	11	11	10	9	9	6	1	0	12	12
null	OG0000078	8	11	2	23	17	0	0	0	1	1	7
