Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
Major sperm proteins	OG0000000	24	21	27	17	20	34	19	19	29	28	23	6
Acyltransferase 3	OG0000002	28	6	17	23	20	21	15	18	30	10	20	23
Aspartic peptidase/retrovirus	OG0000004	0	7	1	6	8	1	31	0	0	71	40	19
BTB/POZ and MATH/TRAF domains	OG0000005	4	4	2	9	8	21	5	9	7	0	51	45
"SKP1 component, dimerisation; E3 ubiquitination"	OG0000006	17	16	22	12	14	11	43	7	8	4	17	20
"F-box domain, type 2"	OG0000007	3	15	7	37	42	32	12	0	7	1	0	16
null	OG0000009	22	14	26	2	2	30	16	4	0	1	37	23
null	OG0000010	11	39	0	8	11	33	18	2	0	1	4	9
null	OG0000011	24	15	19	7	7	17	20	11	18	5	17	12
null	OG0000013	5	6	11	1	0	16	83	1	0	0	0	49
null	OG0000014	13	15	14	10	11	15	26	11	18	7	11	20
null	OG0000015	17	5	13	8	6	35	7	2	28	0	21	23
null	OG0000016	15	6	13	11	10	26	3	7	1	1	31	26
null	OG0000017	22	30	19	0	0	32	8	2	0	0	22	26
null	OG0000018	16	4	16	14	14	14	8	16	18	6	18	17
null	OG0000019	8	2	3	6	5	49	2	1	0	0	3	66
null	OG0000021	1	12	1	20	17	11	10	7	0	0	55	5
null	OG0000022	22	21	17	0	0	24	16	3	4	0	14	14
null	OG0000023	3	4	0	8	8	17	10	8	20	28	17	16
null	OG0000024	12	12	12	9	9	12	33	11	17	5	10	4
null	OG0000025	11	21	14	2	2	6	17	0	3	0	24	33
null	OG0000027	2	1	1	2	1	44	2	0	0	0	3	18
null	OG0000028	20	4	3	9	11	8	22	6	0	0	20	19
null	OG0000029	12	10	9	9	9	12	31	11	16	5	10	2
null	OG0000030	10	10	7	31	48	7	6	3	0	0	2	13
null	OG0000031	5	4	7	0	0	46	3	1	0	0	0	0
null	OG0000032	11	12	11	7	8	12	25	11	16	6	8	4
null	OG0000033	9	6	1	8	10	12	15	13	25	2	7	21
null	OG0000034	26	14	7	6	6	25	11	2	7	3	3	7
null	OG0000036	2	3	0	0	0	23	1	0	0	0	0	3
null	OG0000037	16	16	10	8	14	15	9	15	0	0	8	4
null	OG0000038	5	3	2	7	10	8	15	16	16	3	3	29
null	OG0000039	10	14	11	3	3	16	14	7	10	1	18	13
null	OG0000040	1	1	6	14	16	2	16	5	2	2	31	36
null	OG0000041	4	7	1	6	11	1	8	4	0	58	9	11
null	OG0000042	4	9	0	27	32	16	18	0	0	2	2	11
null	OG0000043	12	12	12	3	4	12	8	14	2	3	17	17
null	OG0000044	33	3	3	1	1	27	3	0	0	0	0	26
null	OG0000046	10	10	11	8	8	8	11	8	9	20	10	6
null	OG0000047	0	2	7	11	11	13	2	15	12	0	20	16
null	OG0000048	9	7	8	11	10	19	8	1	0	0	14	18
null	OG0000049	10	15	1	1	0	4	10	2	7	6	44	11
null	OG0000050	7	12	4	0	0	12	3	7	0	0	65	4
null	OG0000051	20	21	16	2	2	19	9	3	1	0	7	4
null	OG0000052	17	18	7	0	0	18	0	7	0	17	11	2
null	OG0000053	7	10	4	8	8	9	7	6	20	0	24	16
null	OG0000054	10	8	3	8	9	9	16	11	9	4	15	11
null	OG0000055	1	0	1	13	15	5	10	9	21	0	3	23
null	OG0000056	6	9	11	13	11	7	15	15	0	0	19	11
null	OG0000057	0	0	0	0	0	1	0	30	0	0	89	0
null	OG0000058	5	2	0	9	11	1	3	1	1	0	54	13
null	OG0000059	10	8	8	1	1	10	15	1	5	16	15	15
null	OG0000060	9	13	1	10	10	12	13	6	8	4	7	9
null	OG0000061	3	3	1	22	30	5	6	5	0	16	21	2
null	OG0000062	20	16	15	1	0	26	1	5	1	4	7	0
null	OG0000063	29	18	21	0	0	15	0	0	0	0	0	8
null	OG0000064	9	9	8	8	8	8	14	8	11	4	8	11
null	OG0000065	2	2	2	2	2	5	0	2	0	0	8	88
null	OG0000066	7	1	4	7	7	8	10	12	12	3	10	16
null	OG0000067	7	8	7	0	0	22	0	3	0	0	9	24
null	OG0000068	5	2	2	8	10	10	6	11	18	1	4	15
null	OG0000069	16	14	15	4	3	12	8	1	2	0	3	6
null	OG0000070	3	2	1	4	5	36	7	5	0	0	3	3
null	OG0000071	9	16	12	2	2	8	2	1	2	0	0	41
null	OG0000072	2	4	0	3	3	14	2	0	0	2	0	49
null	OG0000073	0	15	8	4	2	2	16	0	0	17	16	10
null	OG0000074	4	12	9	1	2	13	19	2	0	0	12	10
null	OG0000075	0	2	0	10	9	9	5	13	3	1	10	24
null	OG0000076	0	0	0	1	3	0	3	1	0	95	3	0
null	OG0000077	0	1	4	8	7	8	6	10	11	5	17	10
null	OG0000079	6	10	6	5	5	10	6	12	5	5	23	4
null	OG0000080	22	18	10	0	0	17	3	1	0	0	1	7
null	OG0000081	7	3	3	6	6	9	8	10	18	4	8	12
null	OG0000082	4	4	4	5	3	5	16	12	3	1	21	20
null	OG0000083	9	10	9	9	11	9	1	6	1	0	12	12
null	OG0000084	4	4	4	5	8	5	7	9	10	8	7	11
null	OG0000085	0	2	0	10	12	5	12	9	0	0	12	23
null	OG0000086	17	7	8	13	6	4	12	0	3	0	1	12
null	OG0000087	12	14	15	3	4	11	7	1	1	0	5	12
null	OG0000088	30	8	3	0	0	26	0	0	0	0	1	3
null	OG0000089	1	4	2	4	5	4	16	13	11	5	13	12
null	OG0000090	2	0	0	0	0	0	0	2	0	75	4	6
null	OG0000091	20	5	5	0	0	33	0	0	1	0	0	2
null	OG0000092	2	1	0	2	3	0	3	1	0	60	16	4
null	OG0000093	6	7	8	0	0	36	0	0	0	0	0	0
null	OG0000095	6	5	5	6	6	5	6	9	9	5	14	9
null	OG0000096	20	10	1	0	0	7	0	0	0	0	7	9
null	OG0000097	14	2	8	8	5	11	1	5	2	0	9	9
null	OG0000098	12	3	2	0	0	30	0	0	0	0	0	6
null	OG0000099	0	0	0	49	43	0	0	0	0	0	0	0
null	OG0000100	0	0	0	0	0	0	0	0	0	1	82	4
null	OG0000101	1	1	18	1	2	31	0	2	2	0	1	2
null	OG0000102	1	0	0	0	0	0	0	0	0	88	0	2
null	OG0000103	4	2	2	13	11	6	5	4	18	1	4	12
null	OG0000104	13	10	12	0	0	13	0	12	0	0	15	0
null	OG0000105	3	4	1	0	1	35	3	0	0	0	1	16
null	OG0000106	3	2	2	10	7	15	5	4	3	0	7	10
null	OG0000107	8	5	4	6	8	10	1	13	3	2	5	14
null	OG0000108	0	0	0	0	0	0	0	12	0	0	78	0
null	OG0000109	2	1	2	4	5	20	10	3	0	0	5	3
