
GenomeName, ParentName, BranchLength, GenomeLength, ParentLength, Subtitutions, Transitions, Transversions, Matches, GapInsertions, GapInsertedBases, GapDeletions, GapDeletedBases, Insertions, InsertionBases, Deletions, DeletionBases, Inversions, InvertedBases, Duplications, DuplicatedBases, Transpositions, TranspositionBases, Other
Anc01, Anc00, 0.0833864, 37305142, 16795375, 590641, 247526, 343005, 7782303, 59277, 278057, 487519, 6114792, 22713, 20319111, 1164, 130742, 9, 1485, 55256, 1652852, 495, 40253, 0
Anc02, Anc01, 0.0070515, 47808765, 37305142, 630941, 276469, 354471, 38107813, 200784, 874887, 18688, 132115, 23083, 6159946, 164, 8358, 51, 21980, 50091, 1695484, 763, 94928, 0
Anc03, Anc01, 0.00763852, 44299250, 37305142, 3441522, 1450396, 1991107, 34241410, 180412, 776540, 19177, 219463, 23639, 4717187, 119, 9079, 37, 18101, 19664, 726788, 508, 55182, 0
Anc04, Anc03, 0.00600825, 48686309, 44299250, 1286672, 617374, 668337, 41101398, 195244, 853658, 195180, 1816068, 22213, 3931672, 1017, 76186, 38, 28480, 26495, 821027, 665, 152108, 0
Anc05, Anc03, 0.0479699, 77650998, 44299250, 10043894, 4955218, 5088650, 38404795, 461741, 2239975, 392036, 2485509, 68043, 23502816, 13147, 610257, 49, 5150, 274618, 9114400, 1499, 189086, 0
Anc06, Anc04, 0.0288116, 86155445, 48686309, 7834763, 3675615, 4159110, 46416420, 392504, 1886317, 178466, 1188065, 75060, 26221305, 2322, 112078, 65, 8127, 223783, 7650732, 1783, 164197, 0
Anc07, Anc04, 0.0116139, 59858875, 48686309, 3789619, 1849878, 1923117, 41415286, 370940, 1675174, 439459, 3541131, 36692, 8830951, 7529, 367800, 38, 6801, 58448, 2018635, 1305, 415958, 0
Anc08, Anc06, 0.00437787, 106798886, 86155445, 2995333, 1532502, 1462823, 89332139, 394027, 1786204, 117141, 765457, 60889, 10521328, 2523, 206970, 136, 42238, 170063, 8388515, 2420, 323840, 0
Anc09, Anc07, 0.0281128, 85472791, 59858875, 4712841, 2277258, 2387190, 47823771, 479112, 2156240, 789732, 7394951, 70734, 26489101, 4643, 311100, 56, 9045, 118353, 4339001, 1788, 207057, 0
Anc10, Anc08, 2e-12, 113306364, 106798886, 6981847, 2846519, 4135281, 101310395, 131681, 535442, 153479, 1262698, 20297, 3502609, 4247, 282409, 100, 70867, 71525, 4673200, 1837, 1339876, 0
CBRIG, Anc09, 0.00712155, 108419665, 85472791, 10358401, 4919233, 4407137, 77980638, 492930, 2115518, 427191, 2921301, 63714, 15168700, 4689, 348759, 143, 43095, 126817, 8577384, 2124, 412487, 0
CELEG, Anc02, 0.0450089, 100286401, 47808765, 6548360, 2997778, 3550582, 44134188, 454284, 2126497, 517150, 4603573, 96741, 41491419, 3878, 249298, 76, 11759, 346466, 11094708, 1587, 148095, 0
CINOP, Anc02, 0.074382, 122994328, 47808765, 9087693, 4213931, 4796153, 45078958, 332637, 1619137, 573870, 5655254, 93809, 58012688, 3799, 312518, 79, 13938, 341310, 15808320, 1708, 202369, 0
CLATE, Anc06, 0.00465807, 120373354, 86155445, 9211418, 4843047, 4366384, 93588684, 391324, 1691736, 127566, 760561, 53868, 12714947, 2351, 122204, 163, 67110, 304085, 18585920, 2699, 400830, 0
CNIGO, Anc09, 0.00418427, 129488540, 85472791, 4872789, 2526025, 2320823, 98406658, 502728, 2052304, 129567, 1054613, 71673, 20206263, 3268, 444531, 148, 32746, 551878, 21295932, 3048, 346735, 0
CSINI, Anc07, 0.0306113, 131797386, 59858875, 13114973, 5980276, 6624429, 67211556, 604805, 2966001, 297789, 2399181, 113750, 39437732, 1625, 97041, 109, 22245, 752232, 25380616, 4387, 300666, 0
JU1373, Anc05, 0, 80984729, 77650998, 1489240, 484152, 1004506, 77836298, 42525, 161199, 17922, 107538, 3994, 1120649, 398, 33117, 73, 40860, 19044, 1953648, 504, 445237, 0
NIC58, Anc05, 0, 81320525, 77650998, 1536250, 499031, 1036331, 78277571, 39809, 160206, 9451, 78790, 4555, 1017382, 167, 14998, 76, 129726, 22736, 2386134, 501, 768152, 0
PPACI, Anc00, 0.819539, 158500396, 16795375, 7829796, 3195232, 3993188, 36277672, 212089, 1007847, 24058, 306845, 111599, 89803291, 123, 8768, 157, 16244, 979908, 29690525, 2462, 205331, 0
PX356, Anc10, 0, 124505112, 113306364, 5668186, 1853645, 3810989, 110341641, 167673, 651648, 275401, 2823693, 26710, 6261491, 12933, 1071799, 87, 39706, 140127, 11703199, 2546, 2009527, 0
PX439, Anc10, 0, 132050243, 113306364, 6165186, 2017595, 4145735, 115389600, 158070, 609498, 227730, 2290101, 26127, 7620394, 11694, 918223, 99, 65023, 179330, 15880319, 2680, 2127382, 0
PX506, Anc08, 0, 130480874, 106798886, 2305064, 752235, 1549207, 119448019, 133237, 510245, 112936, 1084173, 23382, 6627276, 4404, 243244, 115, 57214, 211249, 18065051, 2482, 1889514, 0
Total, ,1.21048, 2128544378, 1448276400, 120495429, 54010935, 64118555, 1449907213, 6397833, 28734330, 5531508, 49005872, 1113285, 433678258, 86204, 5979479, 1904, 751940, 5043478, 221502390, 39791, 12238810, 0
Average, ,0.0550216, 96752017, 65830745, 5477064, 2455042, 2914479, 65904873, 290810, 1306105, 251432, 2227539, 50603, 19712648, 3918, 271794, 86, 34179, 229249, 10068290, 1808, 556309, 0

