Orthogroup	JU1373.longest	NIC58.longest	PX356.longest	PX439.longest	PX506.protein	PX534.longest	c_brenneri.longest	c_briggsae.longest	c_elegans.longest	c_inopinata.protein	c_nigoni.longest	c_remanei_washu.longest	c_sinica.longest
OG0029259	JU1373.g4526.t1												
OG0029260	JU1373.g4038.t1												
OG0029261	JU1373.g4308.t1												
OG0029262	JU1373.g4465.t1												
OG0029263	JU1373.g4492.t1												
OG0029264	JU1373.g2590.t1												
OG0029265	JU1373.g1363.t1												
OG0029266	JU1373.g1462.t1												
OG0029267	JU1373.g1519.t1												
OG0029268	JU1373.g1542.t1												
OG0029269	JU1373.g1625.t1												
OG0029270	JU1373.g1750.t1												
OG0029271	JU1373.g1766.t1												
OG0029272	JU1373.g1767.t1												
OG0029273	JU1373.g1768.t1												
OG0029274	JU1373.g1817.t1												
OG0029275	JU1373.g1885.t1												
OG0029276	JU1373.g1912.t1												
OG0029277	JU1373.g1941.t1												
OG0029278	JU1373.g15159.t1												
OG0029279	JU1373.g15227.t1												
OG0029280	JU1373.g15519.t1												
OG0029281	JU1373.g15615.t1												
OG0029282	JU1373.g15736.t1												
OG0029283	JU1373.g15802.t1												
OG0029284	JU1373.g15931.t1												
OG0029285	JU1373.g16033.t1												
OG0029286	JU1373.g16036.t1												
OG0029287	JU1373.g16096.t1												
OG0029288	JU1373.g16099.t1												
OG0029289	JU1373.g16104.t1												
OG0029290	JU1373.g16106.t1												
OG0029291	JU1373.g16109.t1												
OG0029292	JU1373.g16114.t1												
OG0029293	JU1373.g16128.t1												
OG0029294	JU1373.g16187.t1												
OG0029295	JU1373.g16225.t1												
OG0029296	JU1373.g16228.t1												
OG0029297	JU1373.g16229.t1												
OG0029298	JU1373.g16241.t1												
OG0029299	JU1373.g16560.t1												
OG0029300	JU1373.g16579.t1												
OG0029301	JU1373.g16630.t1												
OG0029302	JU1373.g16661.t1												
OG0029303	JU1373.g16761.t1												
OG0029304	JU1373.g2859.t1												
OG0029305	JU1373.g3773.t1												
OG0029306	JU1373.g3793.t1												
OG0029307	JU1373.g19941.t1												
OG0029308	JU1373.g20026.t1												
OG0029309	JU1373.g20217.t1												
OG0029310	JU1373.g2445.t1												
OG0029311	JU1373.g2548.t1												
OG0029312	JU1373.g17897.t1												
OG0029313	JU1373.g17898.t1												
OG0029314	JU1373.g4665.t1												
OG0029315	JU1373.g4720.t1												
OG0029316	JU1373.g4752.t1												
